Lp;DataPoczatku;DataKonca;SumaUbezpieczenia;Odnowienia;Ulica;KodPocztowy;Miasto;Wojewodztwo;Kraj;ReasekuracjaO;ReasekuracjaF;Szerokosc;Dlugosc;Flaga_1;Flaga_2;Nr_Wojewodztwa
1;2015-12-14;2024-01-13;240000,0;NIE;SZCZĘŚLIWA 34;53-446;WROCŁAW;Dolnośląskie;POLSKA;1;;51.09790355;17.01208692010551;1;0;1;
2;2015-12-18;2024-01-17;183330,0;NIE;WOLNOŚCI 514;41-806;ZABRZE;Śląskie;POLSKA;1;;50.2988878;18.833014692536114;1;0;15;
3;2016-02-01;2024-01-31;350000,0;NIE;SŁOWACKIEGO 6;71-434;SZCZECIN;Zachodniopomorskie;POLSKA;1;;53.44476335;14.541531461895277;1;0;13;
4;2015-10-24;2024-01-23;453492,0;NIE;Kamionkowska 19;03-805;Warszawa;Mazowieckie;POLSKA;1;;52.2476622;21.0631532;1;0;5;
5;2015-06-23;2024-01-22;187500,0;NIE;ZAPOROSKA 70;53-416;WROCŁAW;Dolnośląskie;POLSKA;1;;51.09171685;17.016875442986702;1;0;1;
6;2015-11-06;2024-01-05;170000,0;NIE;WESOŁA 15;16-020;CZARNA WIEŚ KOŚCIELNA;Podlaskie;POLSKA;1;;53.294449799999995;23.219136471371428;1;0;9;
7;2015-09-30;2024-01-29;377063,0;NIE;ARCHITEKTÓW 300;44-151;GLIWICE;Śląskie;POLSKA;1;;50.27928405;18.581827520730343;1;0;15;
8;2015-11-30;2024-01-29;357000,0;NIE;WYSOCKIEGO 34;59-220;LEGNICA;Dolnośląskie;POLSKA;1;;51.1906049;16.17109255837547;1;0;1;
9;2015-09-24;2024-01-23;251228,49;NIE;Janki Bryla 12C;81-577;Gdynia;Pomorskie;POLSKA;1;;54.4948708;18.4405821;1;0;10;
10;2015-07-29;2024-01-28;88000,0;NIE;KSIĘŻYCOWA 14;42-202;CZĘSTOCHOWA;Śląskie;POLSKA;1;;50.8258629;19.1217505;1;0;15;
11;2015-12-16;2024-01-15;366681,0;NIE;ŚWIERKOWA 10;86-022;NEKLA;Kujawsko-Pomorskie;POLSKA;1;;52.3948857;17.3841496;1;0;2;
12;2015-10-16;2024-01-15;319000,0;NIE;MIĘTOWA 25;76-200;SIEMIANICE;Zachodniopomorskie;POLSKA;1;;54.49207805;17.073240364913545;1;0;13;
13;2015-08-15;2024-01-14;340118,0;NIE;kamieńskiego 211A;51-126;wrocław;Dolnośląskie;POLSKA;1;;51.1537924;17.0448793;1;0;1;
14;2015-10-24;2024-01-23;495000,0;NIE;Marcina Bielskiego 44 G;37-700;Przemyśl;Podkarpackie;POLSKA;1;;49.7883112;22.747427780856572;1;0;8;
15;2015-08-25;2024-01-24;389600,0;NIE;Makowa 4;76-245;Krępa Słupska;Zachodniopomorskie;POLSKA;1;;54.419941;17.047032;1;2;13;
16;2016-01-27;2024-01-26;260000,0;NIE;Dywizjonu 303 139;01-470;Warszawa;Mazowieckie;POLSKA;1;;52.246417;20.9047115;1;0;5;
17;2016-02-29;2024-01-28;410528,0;NIE;GRZEGÓRZECKA 13;31-532;KRAKÓW;Małopolskie;POLSKA;1;;50.0585964;19.9515361;1;0;6;
18;2015-07-08;2024-01-07;438000,0;NIE;DĄBROWICA 33;58-500;DĄBROWICA;Dolnośląskie;POLSKA;1;;50.8942243;15.809269677590677;3;0;1;
19;2015-08-28;2024-01-27;653400,0;NIE;Rakowiecka 23;50-422;Wrocław;Dolnośląskie;POLSKA;1;;51.0998579;17.0674433;1;0;1;
20;2015-10-02;2024-01-01;289500,0;NIE;Ogrodowa 2C;80-282;Gdańsk;Pomorskie;POLSKA;1;;54.370711;18.573163;1;1;10;
21;2015-11-17;2024-01-16;603983,23;NIE;Aleja Rzeczypospolitej 33;02-972;Warszawa;Mazowieckie;POLSKA;1;;52.168785;21.067952;1;1;5;
